trade_date,book,security,quantity,price
7/11/21,Aquamarine,Eaton Vance Floating Rate Income Trust,16165,81.16
7/11/21,Aquamarine,Bryn Mawr Bank Corporation,18072,48.49
7/11/21,Aquamarine,"SB Financial Group, Inc.",10233,36.45
7/11/21,Aquamarine,Advanced Accelerator Applications S.A.,15003,71.77
7/11/21,Aquamarine,Vanguard Emerging Markets Government Bond ETF,13652,20.43
7/11/21,Aquamarine,"SilverBow Resorces, Inc.",18363,4.96
7/11/21,Aquamarine,"EPAM Systems, Inc.",12487,98.19
7/11/21,Aquamarine,Tantech Holdings Ltd.,17837,42.98
7/11/21,Aquamarine,"Golden Entertainment, Inc.",18954,63.75
7/11/21,Aquamarine,First Trust NASDAQ Smartphone Index Fund,14071,17.6
7/11/21,Aquamarine,Cabela's Inc,14911,90.71
7/11/21,Aquamarine,Elkhorn Commodity Rotation Strategy ETF,17175,31.01
7/11/21,Aquamarine,"Bob Evans Farms, Inc.",19094,43.63
7/11/21,Aquamarine,"Dillard's, Inc.",17481,61.75
7/11/21,Aquamarine,"Holly Energy Partners, L.P.",16152,67.73
7/11/21,Aquamarine,Digi International Inc.,17749,87.91
7/13/21,Blue,"Acacia Communications, Inc.",13046,90.3
7/13/21,Blue,"Akebia Therapeutics, Inc.",18588,88.87
7/12/21,Blue,"Archrock, Inc.",15955,5.47
7/12/21,Blue,"Arena Pharmaceuticals, Inc.",11260,33.19
7/12/21,Blue,"Armstrong Flooring, Inc.",14012,48.03
7/11/21,Blue,Avenue Income Credit Strategies Fund,17275,23.65
7/12/21,Blue,"Baldwin & Lyons, Inc.",11905,34.98
7/12/21,Blue,Banco Bradesco Sa,11145,36.67
7/13/21,Blue,"Blackrock MuniHoldings New Jersey Insured Fund, Inc.",17282,80.42
7/12/21,Blue,Brandywine Realty Trust,16117,87.81
7/11/21,Blue,BRF S.A.,15369,16.22
7/13/21,Blue,"CenterState Banks, Inc.",10033,30.1
7/11/21,Blue,"Chanticleer Holdings, Inc.",18992,88.64
7/11/21,Blue,"Chimerix, Inc.",17790,16.55
7/12/21,Blue,China XD Plastics Company Limited,15691,33.07
7/11/21,Blue,"Codexis, Inc.",16235,68.13
7/11/21,Blue,"Cohen & Steers Total Return Realty Fund, Inc.",14715,19.91
7/12/21,Blue,DragonWave Inc,16481,19.9
7/11/21,Crimson,"Century Bancorp, Inc.",12157,75.1
7/11/21,Crimson,Southwestern Energy Company,18654,14.4
7/11/21,Crimson,"Copart, Inc.",12822,91.72
7/11/21,Crimson,Kingtone Wirelessinfo Solution Holding Ltd,12097,60.06
7/11/21,Crimson,"Shineco, Inc.",12102,63.3
7/11/21,Crimson,CNX Coal Resources LP,13101,90.89
7/11/21,Crimson,Ameris Bancorp,11481,17.69
7/11/21,Crimson,Kinross Gold Corporation,11406,96.2
7/11/21,Crimson,MER Telemanagement Solutions Ltd.,11822,44.24
7/11/21,Crimson,Yirendai Ltd.,15855,58.47
7/11/21,Crimson,"Winnebago Industries, Inc.",12667,64.46
7/11/21,Crimson,"Arena Pharmaceuticals, Inc.",13126,77.26
7/11/21,Crimson,"Forterra, Inc.",19090,94.29
7/11/21,Crimson,GP Strategies Corporation,17362,82.83
7/11/21,Crimson,Diana Shipping inc.,14091,30.13
7/11/21,Crimson,"Juniper Networks, Inc.",19453,52.13
7/11/21,Crimson,"Lilis Energy, Inc.",19864,25.72
7/11/21,Crimson,Sierra Bancorp,12936,4.84
7/11/21,Crimson,Enterprise Financial Services Corporation,15441,91.45
7/11/21,Crimson,"USLIFE Income Fund, Inc.",11940,59.64
7/11/21,Crimson,McKesson Corporation,16819,45.81
7/11/21,Fuscia,Guggenheim Strategic Opportunities Fund,17943,89.31
7/11/21,Fuscia,Southern California Edison Company,10858,62.42
7/11/21,Fuscia,Goldcorp Inc.,13692,5.47
7/11/21,Fuscia,Red Lion Hotels Corporation,17730,55.23
7/11/21,Fuscia,Citigroup Inc.,15952,14.7
7/11/21,Fuscia,"Tahoe Resources, Inc.",11728,7.34
7/11/21,Fuscia,Agenus Inc.,16759,81.99
7/11/21,Fuscia,Data I/O Corporation,18361,28.01
7/11/21,Fuscia,"Equinix, Inc.",12230,28.21
7/11/21,Fuscia,"Ocean Power Technologies, Inc.",19612,60.82
7/11/21,Fuscia,"Duff & Phelps Utilities Tax-Free Income, Inc.",16144,86.11
7/11/21,Fuscia,"First Community Financial Partners, Inc.",12124,33.42
7/11/21,Fuscia,Icahn Enterprises L.P.,19804,90.13
7/11/21,Fuscia,Principal U.S. Small Cap Index ETF,18196,38.75
7/11/21,Fuscia,Ultrapar Participacoes S.A.,14355,95.35
7/11/21,Fuscia,Vornado Realty Trust,16218,55.14
7/11/21,Goldenrod,Bank of America Corporation,18864,33.09
7/11/21,Goldenrod,Invesco California Value Municipal Income Trust,15889,96.54
7/11/21,Goldenrod,Washington Prime Group Inc.,16166,95.79
7/11/21,Goldenrod,"Paycom Software, Inc.",17896,15.75
7/11/21,Goldenrod,Kimco Realty Corporation,18457,24.52
7/11/21,Goldenrod,"AquaBounty Technologies, Inc.",15986,30.04
7/11/21,Goldenrod,Valley National Bancorp,16482,90.86
7/11/21,Goldenrod,Lear Corporation,13698,20.32
7/11/21,Goldenrod,"USLIFE Income Fund, Inc.",16113,31.25
7/11/21,Goldenrod,"Imperva, Inc.",10039,4.39
7/11/21,Goldenrod,"Synchronoss Technologies, Inc.",12972,95.23
7/11/21,Goldenrod,"Pinnacle Foods, Inc.",18283,73.98
7/11/21,Goldenrod,GasLog LP.,19625,44.28
7/11/21,Goldenrod,Loncar Cancer Immunotherapy ETF,17830,71.36
7/11/21,Goldenrod,"HSN, Inc.",18515,14.24
7/11/21,Green,"Rand Logistics, Inc.",11019,88.03
7/11/21,Green,Columbus McKinnon Corporation,13876,42.4
7/11/21,Green,Origo Acquisition Corporation,16197,54.58
7/11/21,Green,"ShoreTel, Inc.",12371,77
7/11/21,Green,"GRAVITY Co., Ltd.",19253,13.55
7/11/21,Green,"Safe Bulkers, Inc",17746,14.7
7/11/21,Green,Great Elm Capital Corp.,19538,11.83
7/11/21,Green,Nuven Mortgage Opportunity Term Fund 2,11037,88.09
7/11/21,Green,Oracle Corporation,17301,10.34
7/11/21,Green,Cheetah Mobile Inc.,13125,70.36
7/11/21,Green,"Pacific Biosciences of California, Inc.",11731,64.31
7/11/21,Green,"Goldman Sachs Group, Inc. (The)",18114,26.58
7/11/21,Indigo,"FRP Holdings, Inc.",19021,10.73
7/11/21,Indigo,"Nexstar Media Group, Inc.",18317,42.75
7/11/21,Indigo,OFG Bancorp,15894,63.63
7/11/21,Indigo,TravelCenters of America LLC,13346,45.63
7/11/21,Indigo,Amdocs Limited,14694,58.87
7/11/21,Indigo,Embraer-Empresa Brasileira de Aeronautica,11712,10.41
7/11/21,Indigo,Wendy's Company (The),18863,25.41
7/11/21,Indigo,Teradata Corporation,17524,38.33
7/11/21,Indigo,"TerraForm Global, Inc.",17270,61.88
7/11/21,Indigo,Nortel Inversora SA,12993,68.73
7/11/21,Indigo,STMicroelectronics N.V.,10330,39.1
7/11/21,Indigo,Quorum Health Corporation,10568,59.55
7/11/21,Indigo,Gabelli NextShares Trust,15144,84.81
7/11/21,Indigo,First Trust NASDAQ-100- Technology Index Fund,18135,37.62
7/11/21,Indigo,"Nelnet, Inc.",15127,13.91
7/11/21,Indigo,Verizon Communications Inc.,11067,7.12
7/11/21,Indigo,Fifth Street Senior Floating Rate Corp.,13526,7.53
7/11/21,Indigo,"Blackrock MuniHoldings Quality Fund II, Inc.",15120,33.47
7/11/21,Indigo,"Virtus Investment Partners, Inc.",16578,62.73
7/11/21,Indigo,"Safeguard Scientifics, Inc.",17010,81.1
7/11/21,Khaki,"Great Southern Bancorp, Inc.",18220,53.05
7/11/21,Khaki,BLDRS Emerging Markets 50 ADR Index Fund,11315,75.71
7/11/21,Khaki,"Blackrock MuniYield New York Quality Fund, Inc.",12483,93.1
7/11/21,Khaki,LiNiu Technology Group,11971,10.41
7/11/21,Khaki,PJT Partners Inc.,16079,1.64
7/11/21,Khaki,Hudbay Minerals Inc.,10526,2.42
7/11/21,Khaki,SPDR Dorsey Wright Fixed Income Allocation ETF,13414,95.62
7/11/21,Khaki,Kimberly-Clark Corporation,13001,77.96
7/11/21,Khaki,"Live Oak Bancshares, Inc.",13446,88.66
7/11/21,Khaki,PowerShares DWA Developed Markets Momentum Portfolio,18557,68.34
7/11/21,Khaki,Nuveen High Income December 2019 Target Term Fund,14331,66.22
7/11/21,Khaki,"FormFactor, Inc.",19482,71.09
7/11/21,Khaki,Alliance Data Systems Corporation,14480,28.06
7/11/21,Khaki,"Pain Therapeutics, Inc.",15649,56.45
7/11/21,Khaki,"Harvard Bioscience, Inc.",16743,39.91
7/11/21,Khaki,"Boston Private Financial Holdings, Inc.",13362,46.99
7/11/21,Maroon,Lattice Semiconductor Corporation,15509,86.69
7/11/21,Maroon,Boulevard Acquisition Corp. II,10655,73.62
7/11/21,Maroon,"SandRidge Energy, Inc.",19857,10.72
7/11/21,Maroon,First Trust Multi Cap Value AlphaDEX Fund,19156,81.38
7/11/21,Maroon,Matrix Service Company,19135,8.11
7/11/21,Maroon,Peabody Energy Corporation,17774,61.12
7/11/21,Maroon,"Natural Gas Services Group, Inc.",10693,56.79
7/11/21,Maroon,"Synergy Pharmaceuticals, Inc.",10714,19.16
7/11/21,Maroon,"Cross Country Healthcare, Inc.",15125,46.86
7/11/21,Maroon,"Star Gas Partners, L.P.",11983,25.14
7/11/21,Maroon,"Limbach Holdings, Inc.",10305,38.91
